u,v,key,osmid,highway,lanes,name,oneway,reversed,length,junction,geometry,ref,access,bridge,maxspeed,tunnel
2246471739,2246471746,0,215241988,residential,,PV Marg,False,True,17.356650524792972,,"LINESTRING (72.885792 19.0625778, 72.8856638 19.0626762)",,,,,
2246471739,2246471818,0,215241980,residential,,Dhamma Kutti Marg,False,False,150.1271314366687,,"LINESTRING (72.885792 19.0625778, 72.8862202 19.0629463, 72.8865232 19.0632122, 72.8865685 19.0632487, 72.8868367 19.0634651, 72.8868548 19.0634796)",,,,,
2246471739,12071084588,0,993556074,residential,,,False,True,24.940085582721423,,"LINESTRING (72.885792 19.0625778, 72.8859325 19.0624483, 72.8859599 19.0624194)",,,,,
2246471746,2246471739,0,215241988,residential,,PV Marg,False,False,17.356650524792972,,"LINESTRING (72.8856638 19.0626762, 72.885792 19.0625778)",,,,,
2246471746,13681317149,0,1493034689,residential,,,False,True,32.17742489015634,,"LINESTRING (72.8856638 19.0626762, 72.8854664 19.062455)",,,,,
2246471746,2246471755,0,215241988,residential,,PV Marg,False,True,33.1275153125454,,"LINESTRING (72.8856638 19.0626762, 72.8856019 19.0627304, 72.8854326 19.0628787)",,,,,
2246471748,1367093082,0,122303828,tertiary,,Shell Colony Road,False,False,46.72090045238913,,"LINESTRING (72.8926932 19.0628473, 72.8925866 19.0627637, 72.892349 19.0625814)",,,,,
2246471748,1367093105,0,122303828,tertiary,,Shell Colony Road,False,True,47.549346703470675,,"LINESTRING (72.8926932 19.0628473, 72.8927721 19.0629079, 72.8930443 19.063117)",,,,,
2246471748,2246471861,0,215242144,residential,,,False,False,223.96571915522063,,"LINESTRING (72.8926932 19.0628473, 72.892248 19.0631816, 72.8922176 19.0632046, 72.8920225 19.0633337, 72.8917582 19.0634561, 72.8914194 19.0635768, 72.8910204 19.0637149, 72.8908288 19.0637812)",,,,,
2246471753,2246471769,0,"[1336789933, 215242158]",residential,,,False,"[False, True]",93.16974654565993,,"LINESTRING (72.8877355 19.0628759, 72.8880291 19.0632539, 72.8880561 19.0632581, 72.8880813 19.0632493, 72.8883398 19.0630462)",,,,,
2246471753,6567709171,0,215242158,residential,,,False,True,78.92255932058053,,"LINESTRING (72.8877355 19.0628759, 72.8873337 19.0623624, 72.8872863 19.0623072)",,,,,
2246471753,2246471734,0,215242169,residential,,,False,False,115.50301068021248,,"LINESTRING (72.8877355 19.0628759, 72.887379 19.0630761, 72.8869941 19.0625413)",,,,,
2246471755,10882788619,0,215241988,residential,,PV Marg,False,True,51.39362734654685,,"LINESTRING (72.8854326 19.0628787, 72.8851509 19.0632565)",,,,,
2246471755,2246471746,0,215241988,residential,,PV Marg,False,False,33.1275153125454,,"LINESTRING (72.8854326 19.0628787, 72.8856019 19.0627304, 72.8856638 19.0626762)",,,,,
2246471755,2246471854,0,215241996,residential,,Shree Harishwar Marg,False,False,145.26896455132126,,"LINESTRING (72.8854326 19.0628787, 72.8855395 19.0629672, 72.8856383 19.0630491, 72.8858353 19.0632121, 72.8858787 19.0632481, 72.8862435 19.0635477, 72.8864744 19.0637373)",,,,,
2246471769,6567709172,0,215242003,tertiary,,Kamgar Nagar Road,False,False,134.93324720690393,,"LINESTRING (72.8883398 19.0630462, 72.8876159 19.062044)",,,,,
2246471769,2246471825,0,215242003,tertiary,,Kamgar Nagar Road,False,True,58.46343403059275,,"LINESTRING (72.8883398 19.0630462, 72.8886654 19.0634725)",,,,,
2246471769,2246471753,0,"[1336789933, 215242158]",residential,,,False,"[False, True]",93.16974654565993,,"LINESTRING (72.8883398 19.0630462, 72.8880813 19.0632493, 72.8880561 19.0632581, 72.8880291 19.0632539, 72.8877355 19.0628759)",,,,,
2246471776,2246471728,0,215241985,residential,,Mavla Maratha Road,False,False,114.56552104848312,,"LINESTRING (72.8833074 19.0632289, 72.8838912 19.0623588)",,,,,
2246471776,4264430277,0,215242133,residential,,,False,False,203.17583078604474,,"LINESTRING (72.8833074 19.0632289, 72.8831014 19.0631558, 72.8821698 19.0645147)",,,,,
2246471776,12330461932,0,215242133,residential,,,False,True,26.378097514283603,,"LINESTRING (72.8833074 19.0632289, 72.8834846 19.0632933, 72.883542 19.0633132)",,,,,
2246471818,2246471739,0,215241980,residential,,Dhamma Kutti Marg,False,True,150.1271314366687,,"LINESTRING (72.8868548 19.0634796, 72.8868367 19.0634651, 72.8865685 19.0632487, 72.8865232 19.0632122, 72.8862202 19.0629463, 72.885792 19.0625778)",,,,,
2246471824,4462480898,0,120517007,residential,,Prakash Thorat Marg,False,False,59.4305824781578,,"LINESTRING (72.8997922 19.0634616, 72.9001881 19.0632769, 72.9002978 19.0632223)",,,,,
2246471824,2246961187,0,120517007,residential,,Prakash Thorat Marg,False,True,115.04996973300123,,"LINESTRING (72.8997922 19.0634616, 72.898833 19.0638363, 72.8988517 19.063887)",,,,,
2246471824,4357289627,0,215242095,residential,,,False,True,63.02514849310855,,"LINESTRING (72.8997922 19.0634616, 72.8999465 19.0638341, 72.8997952 19.0639199)",,,,,
2246471825,2246471769,0,215242003,tertiary,,Kamgar Nagar Road,False,False,58.46343403059275,,"LINESTRING (72.8886654 19.0634725, 72.8883398 19.0630462)",,,,,
2246471825,2246471918,0,215242003,tertiary,,Kamgar Nagar Road,False,True,121.8156700901649,,"LINESTRING (72.8886654 19.0634725, 72.8893439 19.0643607)",,,,,
2246471825,1366857603,0,235856026,residential,,Kamgar Nagar Road,False,True,213.41942712460235,,"LINESTRING (72.8886654 19.0634725, 72.8885127 19.0635574, 72.8883764 19.0636331, 72.8883102 19.0636699, 72.8882143 19.0637232, 72.8881219 19.0637745, 72.8880638 19.0638069, 72.8879569 19.0638567, 72.887855 19.0639228, 72.8875968 19.0640662, 72.887957 19.0647313)",,,,,
2246471836,1367093181,0,427199215,residential,,,False,False,99.50769367977854,,"LINESTRING (72.884206 19.0635843, 72.8838225 19.0644025)",,,,,
2246471836,4264430257,0,427199215,residential,,,False,True,86.45386796011628,,"LINESTRING (72.884206 19.0635843, 72.8845338 19.0628712)",,,,,
