u,v,key,osmid,highway,lanes,name,oneway,reversed,length,junction,geometry,ref,access,bridge,maxspeed,tunnel,status
245665147,8443498442,0,49684334,secondary,2.0,BKC - Eastern Express Highway Road,True,False,25.48455748997025,,"LINESTRING (72.8645378 19.0589758, 72.8645519 19.058747)",,,,,,Open
245665147,8443498448,0,1485040774,tertiary,,,True,False,29.39900180149812,,"LINESTRING (72.8645378 19.0589758, 72.8642582 19.0589837)",,,,,,Open
245665186,6488652331,0,691476652,residential,,,False,False,64.98562509942933,,"LINESTRING (72.9005079 19.0548287, 72.9011262 19.0548257)",,,,,,Open
245665197,11143613411,0,1235473841,tertiary,,Vasantarao Naik Marg,True,False,8.929792536537896,,"LINESTRING (72.8837233 19.0563775, 72.8837626 19.0564487)",,,,,,Open
245665197,11143613413,0,1235473845,tertiary,,,True,False,30.648093496924226,,"LINESTRING (72.8837233 19.0563775, 72.8835893 19.0566223)",,,,,,Open
245665197,7383907165,0,1235473846,tertiary,,Vasantarao Naik Marg,False,False,28.410595001593983,,"LINESTRING (72.8837233 19.0563775, 72.8835112 19.0562191)",,,,,,Open
245665275,4357273834,0,22854756,secondary,,Road No 10,False,True,109.378448982482,,"LINESTRING (72.8974389 19.0561448, 72.8964268 19.0563738)",,,,,,Open
245665275,245665307,0,1240182694,secondary,,,True,False,61.84080964214443,roundabout,"LINESTRING (72.8974389 19.0561448, 72.8974552 19.0562365, 72.8975 19.0563194, 72.8975691 19.0563857, 72.8976561 19.0564292, 72.8977529 19.0564461, 72.8978484 19.0564351)",,,,,,Open
245665303,245665304,0,22854756,secondary,,Road No 10,False,False,64.61587187923485,,"LINESTRING (72.8952415 19.056642, 72.8958394 19.0565067)",,,,,,Open
245665303,13676994256,0,1240182691,secondary,2.0,Ramakrishna Chemburkar Marg,True,False,71.71727972999943,,"LINESTRING (72.8952415 19.056642, 72.8951112 19.0560089)",,,,,,Open
245665303,4264598306,0,1240182693,secondary,,Road No 10,False,True,11.573510255134332,,"LINESTRING (72.8952415 19.056642, 72.8951344 19.0566662)",,,,,,Open
245665304,4357273834,0,22854756,secondary,,Road No 10,False,False,63.48055145150561,,"LINESTRING (72.8958394 19.0565067, 72.8964268 19.0563738)",,,,,,Open
245665304,245665303,0,22854756,secondary,,Road No 10,False,True,64.61587187923485,,"LINESTRING (72.8958394 19.0565067, 72.8952415 19.056642)",,,,,,Flooded
245665304,4357273836,0,259332595,residential,,,False,False,120.77037206265877,,"LINESTRING (72.8958394 19.0565067, 72.8959679 19.057586)",,,,,,Open
245665307,1643351830,0,22854102,secondary,,,True,False,40.46187507417838,roundabout,"LINESTRING (72.8978484 19.0564351, 72.8979363 19.0563981, 72.8980088 19.0563383, 72.8980595 19.0562609, 72.8980838 19.0561729)",,,,,,Flooded
245665307,1643351841,0,22854153,secondary,,D K Sandu Marg,False,False,64.19918780084684,,"LINESTRING (72.8978484 19.0564351, 72.8980875 19.0568813, 72.89811 19.0569555)",,,,,,Open
245665344,9311818794,0,22854141,residential,,Road No.11,False,False,7.799842877405495,,"LINESTRING (72.9005503 19.0567284, 72.9004761 19.0567297)",11,,,,,Open
245665344,1643351828,0,617622259,secondary,2.0,D Saraswati Marg (Central Avenue),True,False,79.4525870120972,,"LINESTRING (72.9005503 19.0567284, 72.9005357 19.056014)",,yes,,,,Flooded
245665354,10207397917,0,1238346018,trunk_link,2.0,,True,False,12.585605245536147,,"LINESTRING (72.8872739 19.056904, 72.887368 19.056974)",,,,,,Open
245665354,1643351843,0,1267855607,secondary,,S G Barve Marg (C S T Road),True,False,9.696862683333272,,"LINESTRING (72.8872739 19.056904, 72.887222 19.0569761)",,,,,,Open
245665419,9311818792,0,22854176,residential,,Road 12,False,False,7.810536775438045,,"LINESTRING (72.9005625 19.0573258, 72.9004882 19.0573272)",,,,,,Open
245665419,1643351839,0,617622259,secondary,2.0,D Saraswati Marg (Central Avenue),True,False,52.06019692193452,,"LINESTRING (72.9005625 19.0573258, 72.9005529 19.0568577)",,yes,,,,Open
245665495,9311818791,0,22854108,residential,,Road 13,False,False,7.799783597165642,,"LINESTRING (72.900576 19.0579894, 72.9005018 19.0579907)",,,,,,Open
245665495,245665419,0,617622259,secondary,2.0,D Saraswati Marg (Central Avenue),True,False,73.80269758840743,,"LINESTRING (72.900576 19.0579894, 72.9005686 19.0576256, 72.9005625 19.0573258)",,yes,,,,Open
245665583,10207397919,0,438980153,residential,,,False,False,11.935237211114938,,"LINESTRING (72.8869918 19.0573215, 72.8870832 19.0573852)",,,,,,Open
245665583,7379608705,0,1267855607,secondary,,S G Barve Marg (C S T Road),True,False,78.06765168954064,,"LINESTRING (72.8869918 19.0573215, 72.8865503 19.0578861)",,,,,,Open
245665637,1651421946,0,22854121,tertiary,,Road No 18,False,True,40.45562340525828,,"LINESTRING (72.8984173 19.0583939, 72.8987242 19.0586135)",,,,,,Flooded
245665637,4357273825,0,22854153,secondary,,D K Sandu Marg,False,True,37.20868513814949,,"LINESTRING (72.8984173 19.0583939, 72.8983472 19.0580659)",,,,,,Open
245665637,1651404921,0,259332585,secondary,,D K Sandu Marg,False,False,43.50825250786268,,"LINESTRING (72.8984173 19.0583939, 72.8984818 19.0587804)",,,,,,Open
245665679,10750564862,0,1156018605,tertiary,,,True,False,12.315344411408477,,"LINESTRING (72.8858965 19.0587817, 72.885972 19.0588664)",,,,,,Open
245665679,2246471647,0,22854860,secondary,,S G Barve Marg (C S T Road),True,False,155.1122747624222,,"LINESTRING (72.8858965 19.0587817, 72.8855956 19.0592226, 72.8855807 19.0592428, 72.8850696 19.0599369)",,,,,,Open
245665702,1651421946,0,22854121,tertiary,,Road No 18,False,False,117.06213608734618,,"LINESTRING (72.8995596 19.0593098, 72.8987242 19.0586135)",,,,,,Open
245665702,13686857863,0,1127162199,residential,,Road No 20,False,True,121.07079467401186,,"LINESTRING (72.8995596 19.0593098, 72.8984996 19.0597361)",,,,,,Flooded
245665702,1643264330,0,22854121,tertiary,,Road No 18,False,True,97.53632629687492,,"LINESTRING (72.8995596 19.0593098, 72.8997433 19.0594209, 72.9002092 19.0597234, 72.9002762 19.0597475, 72.9003458 19.0597684)",,,,,,Flooded
245665723,9311818789,0,22854142,residential,,Road 16,False,False,7.799728074347081,,"LINESTRING (72.9006001 19.0591704, 72.9005259 19.0591717)",,yes,,,,Open
245665723,13676913018,0,617622259,secondary,2.0,D Saraswati Marg (Central Avenue),True,False,60.3912352169294,,"LINESTRING (72.9006001 19.0591704, 72.9005965 19.0586273)",,yes,,,,Open
245665748,13686857863,0,259332585,secondary,,D K Sandu Marg,False,True,10.93855817614076,,"LINESTRING (72.8984956 19.0598344, 72.8984996 19.0597361)",,,,,,Open
245665748,245665982,0,315452652,secondary,,D K Sandu Marg,False,False,91.5106302372448,,"LINESTRING (72.8984956 19.0598344, 72.8984338 19.0605233, 72.8984205 19.0606543)",,,,,,Open
245665776,1643351856,0,22854472,secondary,2.0,Ramakrishna Chemburkar Marg,True,False,33.905431386611696,,"LINESTRING (72.8964358 19.0596332, 72.8966104 19.0598896)",,,,,,Open
245665776,4264598311,0,152313455,residential,,Road No 15,False,True,14.993856215586469,,"LINESTRING (72.8964358 19.0596332, 72.8965668 19.0595798)",,,,,,Open
245665982,245665748,0,315452652,secondary,,D K Sandu Marg,False,True,91.5106302372448,,"LINESTRING (72.8984205 19.0606543, 72.8984338 19.0605233, 72.8984956 19.0598344)",,,,,,Open
245665982,1651414481,0,1126936384,tertiary,,D K Sandu Marg,False,False,172.74859602257476,,"LINESTRING (72.8984205 19.0606543, 72.8983687 19.0609688, 72.8982914 19.0614446, 72.8982647 19.0617103, 72.8982278 19.0620768, 72.8982197 19.0621954)",,,,,,Open
245665982,13789652005,0,"[152314739, 1171548223]",secondary,,Road No 19,False,False,111.05417975827211,,"LINESTRING (72.8984205 19.0606543, 72.8985461 19.0606118, 72.8987542 19.0605439, 72.8987868 19.0605315, 72.8988973 19.0604895, 72.8994066 19.0602961)",,,,,,Open
245666041,2897024596,0,1449643754,tertiary,,,False,True,11.160747972392542,,"LINESTRING (72.8690073 19.0621606, 72.8689576 19.0620719)",,,,,,Open
245666041,245666337,0,22855841,tertiary,,,False,False,213.15769987255524,,"LINESTRING (72.8690073 19.0621606, 72.8691455 19.0625078, 72.8692947 19.0628789, 72.8697265 19.063953)",,,,,,Open
245666078,2897024594,0,1449643758,tertiary,2.0,Avenue 3,True,False,8.018515603507467,,"LINESTRING (72.8679652 19.0621157, 72.8679638 19.0620436)",,,,,,Flooded
245666078,245666041,0,"[1453317239, 22855647]",unclassified,2.0,,True,False,109.96264217050675,,"LINESTRING (72.8679652 19.0621157, 72.8683025 19.0621397, 72.8688744 19.0621803, 72.8690073 19.0621606)",,,,,,Open
